SITE_ID,BASIN,PLOT,SUBPLOT,SPP,COUNT,REMARKS
C1-3V,C1,3,EAST,,,NONE
C1-3V,C1,3,NORTH,,,NONE
C1-3V,C1,3,SOUTH,,,NONE
C1-3V,C1,3,WEST,,,NONE
C1-4V,C1,4,EAST,TSHE,4,
C1-4V,C1,4,NORTH,TSHE,2,
C1-4V,C1,4,SOUTH,,,NONE
C1-4V,C1,4,WEST,,,NONE
C1-5V,C1,5,EAST,TSHE,35,
C1-5V,C1,5,NORTH,TSHE,24,
C1-5V,C1,5,SOUTH,TSHE,7,
C1-5V,C1,5,WEST,,,NONE
C1-7VB,C1,7,EAST,TSHE,2,
C1-7VB,C1,7,NORTH,TSHE,23,
C1-7VB,C1,7,SOUTH,TSHE,2,
C1-7VB,C1,7,WEST,TSHE,57,
C1-8VB,C1,8,EAST,,,NONE
C1-8VB,C1,8,NORTH,,,NONE
C1-8VB,C1,8,SOUTH,,,NONE
C1-8VB,C1,8,WEST,,,NONE
C1-13VB,C1,13,EAST,PISI,1,
C1-13VB,C1,13,EAST,TSHE,7,
C1-13VB,C1,13,WEST,TSHE,4,
C1-13VB,C1,13,NORTH,,,NONE
C1-13VB,C1,13,SOUTH,,,NONE
C1-14VB,C1,14,EAST,TSHE,1,
C1-14VB,C1,14,NORTH,,,NONE
C1-14VB,C1,14,SOUTH,,,NONE
C1-14VB,C1,14,WEST,,,NONE
C1-17V,C1,17,EAST,,,NONE
C1-17V,C1,17,NORTH,,,NONE
C1-17V,C1,17,SOUTH,,,NONE
C1-17V,C1,17,WEST,,,NONE
C1-18V,C1,18,NORTH,ALRU2,4,
C1-18V,C1,18,WEST,ALRU2,1,
C1-18V,C1,18,EAST,TSHE,1,
C1-18V,C1,18,SOUTH,TSHE,3,
C1-20VB,C1,20,WEST,TSHE,1,
C1-20VB,C1,20,EAST,,,NONE
C1-20VB,C1,20,NORTH,,,NONE
C1-20VB,C1,20,SOUTH,,,NONE
C1-24VB,C1,24,EAST,,,NONE
C1-24VB,C1,24,NORTH,,,NONE
C1-24VB,C1,24,SOUTH,,,NONE
C1-24VB,C1,24,WEST,,,NONE
C1-25VB,C1,25,NORTH,,,NONE
C1-25VB,C1,25,SOUTH,,,NONE
C1-25VB,C1,25,EAST,THPL,1,
C1-25VB,C1,25,WEST,TSHE,1,
C1-26V,C1,26,EAST,TSHE,12,
C1-26V,C1,26,NORTH,TSHE,9,
C1-26V,C1,26,SOUTH,TSHE,1,
C1-26V,C1,26,WEST,TSHE,1,
C1-28VB,C1,28,NORTH,TSHE,1,
C1-28VB,C1,28,SOUTH,TSHE,7,
C1-28VB,C1,28,EAST,,,NONE
C1-28VB,C1,28,WEST,,,NONE
C2-4V,C2,4,EAST,TSHE,3,
C2-4V,C2,4,NORTH,TSHE,5,
C2-4V,C2,4,SOUTH,TSHE,7,
C2-4V,C2,4,WEST,TSHE,9,
C2-5VB,C2,5,SOUTH,FRPU7,1,
C2-5VB,C2,5,EAST,TSHE,2,
C2-5VB,C2,5,NORTH,TSHE,1,
C2-5VB,C2,5,SOUTH,TSHE,3,
C2-5VB,C2,5,WEST,TSHE,4,
C2-11VB,C2,11,EAST,,,NONE
C2-11VB,C2,11,SOUTH,,,NONE
C2-11VB,C2,11,WEST,,,NONE
C2-11VB,C2,11,NORTH,TSHE,1,
C2-12VB,C2,12,EAST,TSHE,1,
C2-12VB,C2,12,NORTH,,,NONE
C2-12VB,C2,12,SOUTH,,,NONE
C2-12VB,C2,12,WEST,,,NONE
C2-13V,C2,13,NORTH,TSHE,1,
C2-13V,C2,13,EAST,,,NONE
C2-13V,C2,13,SOUTH,,,NONE
C2-13V,C2,13,WEST,,,NONE
C2-15VB,C2,15,EAST,,,NONE
C2-15VB,C2,15,NORTH,,,NONE
C2-15VB,C2,15,SOUTH,,,NONE
C2-15VB,C2,15,WEST,,,NONE
C2-17VB,C2,17,SOUTH,,,NONE
C2-17VB,C2,17,WEST,,,NONE
C2-17VB,C2,17,EAST,TSHE,1,
C2-17VB,C2,17,NORTH,TSHE,6,
C2-18VB,C2,18,EAST,FRPU7,2,
C2-18VB,C2,18,WEST,FRPU7,1,
C2-18VB,C2,18,EAST,TSHE,8,
C2-18VB,C2,18,NORTH,TSHE,4,
C2-18VB,C2,18,SOUTH,TSHE,4,
C2-20VB,C2,20,EAST,FRPU7,1,
C2-20VB,C2,20,EAST,THPL,6,
C2-20VB,C2,20,NORTH,THPL,1,
C2-20VB,C2,20,EAST,TSHE,1,
C2-20VB,C2,20,NORTH,TSHE,3,
C2-20VB,C2,20,SOUTH,TSHE,7,
C2-20VB,C2,20,WEST,TSHE,3,
C2-23VB,C2,23,WEST,FRPU7,2,
C2-23VB,C2,23,EAST,THPL,2,
C2-23VB,C2,23,EAST,TSHE,2,
C2-23VB,C2,23,NORTH,TSHE,1,
C2-23VB,C2,23,SOUTH,TSHE,1,
C2-23VB,C2,23,WEST,TSHE,1,
C2-25VB,C2,25,NORTH,FRPU7,1,
C2-25VB,C2,25,EAST,TSHE,1,
C2-25VB,C2,25,SOUTH,TSHE,2,
C2-25VB,C2,25,WEST,,,NONE
C2-26V,C2,26,SOUTH,TSHE,4,
C2-26V,C2,26,EAST,,,NONE
C2-26V,C2,26,NORTH,,,NONE
C2-26V,C2,26,WEST,,,NONE
N1-2V,N1,2,EAST,,,NONE
N1-2V,N1,2,NORTH,,,NONE
N1-2V,N1,2,SOUTH,,,NONE
N1-2V,N1,2,WEST,,,NONE
N1-3V,N1,3,NORTH,TSHE,1,
N1-3V,N1,3,WEST,TSHE,1,
N1-3V,N1,3,EAST,,,NONE
N1-3V,N1,3,SOUTH,,,NONE
N1-7VB,N1,7,NORTH,TSHE,2,
N1-7VB,N1,7,EAST,,,NONE
N1-7VB,N1,7,SOUTH,,,NONE
N1-7VB,N1,7,WEST,,,NONE
N1-8VB,N1,8,EAST,,,NONE
N1-8VB,N1,8,NORTH,,,NONE
N1-8VB,N1,8,SOUTH,,,NONE
N1-8VB,N1,8,WEST,,,NONE
N1-10VB,N1,10,NORTH,ALRU2,11,
N1-10VB,N1,10,WEST,ALRU2,2,
N1-10VB,N1,10,EAST,TSHE,2,
N1-10VB,N1,10,NORTH,TSHE,4,
N1-10VB,N1,10,SOUTH,TSHE,8,
N1-10VB,N1,10,WEST,TSHE,3,
N1-12VB,N1,12,EAST,,,NONE
N1-12VB,N1,12,NORTH,,,NONE
N1-12VB,N1,12,SOUTH,,,NONE
N1-12VB,N1,12,WEST,,,NONE
N1-13V,N1,13,EAST,,,NONE
N1-13V,N1,13,NORTH,,,NONE
N1-13V,N1,13,SOUTH,,,NONE
N1-13V,N1,13,WEST,,,NONE
N1-14VB,N1,14,NORTH,FRPU7,1,
N1-14VB,N1,14,SOUTH,TSHE,3,
N1-14VB,N1,14,SOUTH,,,NONE
N1-14VB,N1,14,WEST,,,NONE
N1-16V,N1,16,EAST,,,NONE
N1-16V,N1,16,NORTH,,,NONE
N1-16V,N1,16,SOUTH,,,NONE
N1-16V,N1,16,WEST,,,NONE
N1-17VB,N1,17,SOUTH,THPL,7,
N1-17VB,N1,17,EAST,TSHE,5,
N1-17VB,N1,17,NORTH,TSHE,8,
N1-17VB,N1,17,SOUTH,TSHE,3,
N1-17VB,N1,17,WEST,TSHE,5,
N1-18VB,N1,18,NORTH,,,NONE
N1-18VB,N1,18,EAST,,,NONE
N1-18VB,N1,18,SOUTH,,,NONE
N1-18VB,N1,18,WEST,,,NONE
N1-19V,N1,19,NORTH,,,NONE
N1-19V,N1,19,SOUTH,,,NONE
N1-19V,N1,19,WEST,,,NONE
N1-19V,N1,19,EAST,TSHE,2,
N1-20V,N1,20,EAST,,,NONE
N1-20V,N1,20,NORTH,,,NONE
N1-20V,N1,20,SOUTH,,,NONE
N1-20V,N1,20,WEST,,,NONE
N1-21VB,N1,21,NORTH,TSHE,1,
N1-21VB,N1,21,EAST,,,NONE
N1-21VB,N1,21,SOUTH,,,NONE
N1-21VB,N1,21,WEST,,,NONE
N1-22V,N1,22,SOUTH,,,NONE
N1-22V,N1,22,WEST,,,NONE
N1-22V,N1,22,EAST,TSHE,5,
N1-22V,N1,22,NORTH,TSHE,1,
N1-24VB,N1,24,NORTH,TSHE,2,
N1-24VB,N1,24,NORTH,TSHE,4,
N1-24VB,N1,24,SOUTH,,,NONE
N1-24VB,N1,24,WEST,,,NONE
N1-25VB,N1,25,EAST,,,NONE
N1-25VB,N1,25,NORTH,,,NONE
N1-25VB,N1,25,SOUTH,,,NONE
N1-25VB,N1,25,WEST,,,NONE
N1-26V,N1,26,EAST,,,NONE
N1-26V,N1,26,NORTH,,,NONE
N1-26V,N1,26,SOUTH,,,NONE
N1-26V,N1,26,WEST,,,NONE
N1-27V,N1,27,EAST,,,NONE
N1-27V,N1,27,NORTH,,,NONE
N1-27V,N1,27,WEST,,,NONE
N1-27V,N1,27,SOUTH,TSHE,1,
N2-1VB,N2,1,WEST,THPL,2,
N2-1VB,N2,1,SOUTH,TSHE,3,
N2-1VB,N2,1,EAST,,,NONE
N2-1VB,N2,1,NORTH,,,NONE
N2-1VB,N2,1,SOUTH,,,NONE
N2-2VB,N2,2,EAST,,,NONE
N2-2VB,N2,2,NORTH,,,NONE
N2-2VB,N2,2,WEST,,,NONE
N2-2VB,N2,2,SOUTH,TSHE,2,
N2-3V,N2,3,EAST,,,NONE
N2-3V,N2,3,NORTH,,,NONE
N2-3V,N2,3,SOUTH,,,NONE
N2-3V,N2,3,WEST,,,NONE
N2-5V,N2,5,SOUTH,,,NONE
N2-5V,N2,5,EAST,THPL,1,
N2-5V,N2,5,NORTH,THPL,1,
N2-5V,N2,5,EAST,TSHE,1,
N2-5V,N2,5,WEST,TSHE,1,
N2-7VB,N2,7,NORTH,FRPU7,1,
N2-7VB,N2,7,EAST,,,NONE
N2-7VB,N2,7,SOUTH,,,NONE
N2-7VB,N2,7,WEST,,,NONE
N2-10VB,N2,10,EAST,FRPU7,1,
N2-10VB,N2,10,WEST,FRPU7,1,
N2-10VB,N2,10,EAST,TSHE,1,
N2-10VB,N2,10,NORTH,TSHE,2,
N2-10VB,N2,10,SOUTH,TSHE,1,
N2-10VB,N2,10,WEST,TSHE,1,
N2-12V,N2,12,SOUTH,,,NONE
N2-12V,N2,12,EAST,TSHE,1,
N2-12V,N2,12,NORTH,TSHE,4,
N2-12V,N2,12,WEST,TSHE,22,
N2-13VB,N2,13,EAST,TSHE,8,
N2-13VB,N2,13,NORTH,TSHE,10,
N2-13VB,N2,13,SOUTH,TSHE,6,
N2-13VB,N2,13,WEST,TSHE,4,
N2-14V,N2,14,SOUTH,,,NONE
N2-14V,N2,14,WEST,,,NONE
N2-14V,N2,14,NORTH,FRPU7,2,
N2-14V,N2,14,EAST,TSHE,2,
N2-14V,N2,14,NORTH,TSHE,8,
N2-15VB,N2,15,EAST,,,NONE
N2-15VB,N2,15,NORTH,TSHE,15,
N2-15VB,N2,15,SOUTH,TSHE,2,
N2-15VB,N2,15,WEST,TSHE,2,
N2-18VB,N2,18,WEST,TSHE,12,
N2-18VB,N2,18,EAST,,,NONE
N2-18VB,N2,18,NORTH,,,NONE
N2-18VB,N2,18,SOUTH,,,NONE
N2-19V,N2,19,EAST,TSHE,21,
N2-19V,N2,19,NORTH,TSHE,3,
N2-19V,N2,19,SOUTH,TSHE,22,
N2-19V,N2,19,WEST,TSHE,16,
N2-20V,N2,20,EAST,,,NONE
N2-20V,N2,20,SOUTH,,,NONE
N2-20V,N2,20,WEST,,,NONE
N2-20V,N2,20,NORTH,TSHE,1,
N2-21V,N2,21,EAST,,,NONE
N2-21V,N2,21,NORTH,,,NONE
N2-21V,N2,21,SOUTH,,,NONE
N2-21V,N2,21,WEST,,,NONE
N2-26,N2,26,EAST,TSHE,12,
N2-26,N2,26,NORTH,TSHE,23,
N2-26,N2,26,SOUTH,TSHE,32,
N2-26,N2,26,WEST,,,NONE
,,,,,,
,,,,,,
