SITE_ID,BASIN,PLOT,LOCAT,COVER_1,COVER_2,COVER_3,COVER_4,REMARKS,average
C1-3V,C1,3,N,94,96,93,97,,95
C1-3V,C1,3,E,97,82,89,96,,91
C1-3V,C1,3,S,94,89,96,97,,94
C1-3V,C1,3,W,98,98,95,98,,97.25
C1-3V,C1,3,C,98,97,95,87,,94.25
C1-4V,C1,4,N,77,81,80,88,,81.5
C1-4V,C1,4,E,95,97,98,95,,96.25
C1-4V,C1,4,S,96,94,95,98,,95.75
C1-4V,C1,4,W,97,95,98,98,,97
C1-4V,C1,4,C,96,95,92,96,,94.75
C1-5V,C1,5,N,86,84,88,96,,88.5
C1-5V,C1,5,E,93,91,90,92,,91.5
C1-5V,C1,5,S,91,96,90,93,,92.5
C1-5V,C1,5,W,85,85,80,87,,84.25
C1-5V,C1,5,C,88,79,92,94,,88.25
C1-7VB,C1,7,N,72,78,75,80,,76.25
C1-7VB,C1,7,E,88,97,91,75,,87.75
C1-7VB,C1,7,S,82,79,94,93,,87
C1-7VB,C1,7,W,78,77,91,82,,82
C1-7VB,C1,7,C,60,78,87,73,,74.5
C1-8VB,C1,8,N,86,78,52,66,,70.5
C1-8VB,C1,8,E,45,47,33,46,,42.75
C1-8VB,C1,8,S,15,5,28,61,,27.25
C1-8VB,C1,8,W,45,59,79,45,,57
C1-8VB,C1,8,C,43,49,56,49,,49.25
C1-13VB,C1,13,N,4,11,63,40,,29.5
C1-13VB,C1,13,E,82,6,62,44,,48.5
C1-13VB,C1,13,S,3,58,35,81,,44.25
C1-13VB,C1,13,W,12,15,24,34,,21.25
C1-13VB,C1,13,C,72,20,38,56,,46.5
C1-14VB,C1,14,N,92,91,94,86,,90.75
C1-14VB,C1,14,E,92,93,93,94,,93
C1-14VB,C1,14,S,87,88,85,80,,85
C1-14VB,C1,14,W,84,81,85,88,,84.5
C1-14VB,C1,14,C,81,86,87,74,,82
C1-17V,C1,17,N,94,96,97,93,,95
C1-17V,C1,17,E,96,92,95,97,,95
C1-17V,C1,17,S,90,93,91,89,,90.75
C1-17V,C1,17,W,84,96,89,94,,90.75
C1-17V,C1,17,C,93,90,96,97,,94
C1-18V,C1,18,N,93,99,96,95,,95.75
C1-18V,C1,18,E,98,95,94,93,,95
C1-18V,C1,18,S,88,91,95,98,,93
C1-18V,C1,18,W,98,96,98,97,,97.25
C1-18V,C1,18,C,98,99,98,98,,98.25
C1-20VB,C1,20,N,100,99,100,100,,99.75
C1-20VB,C1,20,E,100,99,96,95,,97.5
C1-20VB,C1,20,S,98,95,82,86,,90.25
C1-20VB,C1,20,W,100,98,99,100,,99.25
C1-20VB,C1,20,C,99,100,100,99,,99.5
C1-24VB,C1,24,N,95,90,77,74,,84
C1-24VB,C1,24,E,96,92,92,81,,90.25
C1-24VB,C1,24,S,76,75,75,78,,76
C1-24VB,C1,24,W,88,97,99,91,,93.75
C1-24VB,C1,24,C,92,98,90,94,,93.5
C1-25VB,C1,25,N,89,94,98,95,,94
C1-25VB,C1,25,E,96,97,95,94,,95.5
C1-25VB,C1,25,S,92,90,96,95,,93.25
C1-25VB,C1,25,W,96,95,93,97,,95.25
C1-25VB,C1,25,C,95,96,97,94,,95.5
C1-26V,C1,26,N,99,96,66,72,,83.25
C1-26V,C1,26,E,96,93,94,98,,95.25
C1-26V,C1,26,S,100,90,94,98,,95.5
C1-26V,C1,26,W,99,99,97,98,,98.25
C1-26V,C1,26,C,98,96,97,99,,97.5
C1-28VB,C1,28,N,95,88,86,92,,90.25
C1-28VB,C1,28,E,92,96,96,95,,94.75
C1-28VB,C1,28,S,89,94,95,96,,93.5
C1-28VB,C1,28,W,88,96,82,93,,89.75
C1-28VB,C1,28,C,95,86,78,91,,87.5
C2-4V,C2,4,N,98,96,73,97,,91
C2-4V,C2,4,E,93,94,96,97,,95
C2-4V,C2,4,S,97,98,98,97,,97.5
C2-4V,C2,4,W,93,95,98,97,,95.75
C2-4V,C2,4,C,96,95,97,97,,96.25
C2-5VB,C2,5,N,90,91,87,89,,89.25
C2-5VB,C2,5,E,89,92,95,93,,92.25
C2-5VB,C2,5,S,91,93,94,91,,92.25
C2-5VB,C2,5,W,96,94,95,92,,94.25
C2-5VB,C2,5,C,78,89,90,95,4 IS PARTIALLY OBSCURED BY UPTURNED ROOTS,88
C2-11VB,C2,11,N,96,89,97,94,,94
C2-11VB,C2,11,E,93,89,84,86,,88
C2-11VB,C2,11,S,96,98,97,98,,97.25
C2-11VB,C2,11,W,97,96,96,95,,96
C2-11VB,C2,11,C,96,95,97,93,,95.25
C2-12VB,C2,12,N,97,97,94,92,,95
C2-12VB,C2,12,E,99,97,94,93,,95.75
C2-12VB,C2,12,S,98,96,93,97,,96
C2-12VB,C2,12,W,96,97,97,98,,97
C2-12VB,C2,12,C,94,91,93,92,,92.5
C2-13V,C2,13,N,92,90,98,92,,93
C2-13V,C2,13,E,96,97,95,98,,96.5
C2-13V,C2,13,S,91,90,81,81,,85.75
C2-13V,C2,13,W,90,94,88,87,,89.75
C2-13V,C2,13,C,92,86,94,93,,91.25
C2-15VB,C2,15,N,92,93,90,90,,91.25
C2-15VB,C2,15,E,84,92,74,92,,85.5
C2-15VB,C2,15,S,91,94,93,97,,93.75
C2-15VB,C2,15,W,94,95,94,97,,95
C2-15VB,C2,15,C,91,94,96,95,,94
C2-17VB,C2,17,N,97,92,92,88,,92.25
C2-17VB,C2,17,E,90,96,95,96,,94.25
C2-17VB,C2,17,S,82,89,94,95,,90
C2-17VB,C2,17,W,99,99,97,99,,98.5
C2-17VB,C2,17,C,97,98,95,95,,96.25
C2-18VB,C2,18,N,52,68,76,69,,66.25
C2-18VB,C2,18,E,46,49,53,64,ESTIMATES- TRIED TO MENTALLY SUBTRACT DENSE COVERAGE OF SALAL AND SAPLINGS,53
C2-18VB,C2,18,S,91,94,96,97,,94.5
C2-18VB,C2,18,W,94,97,95,93,,94.75
C2-18VB,C2,18,C,98,96,97,98,,97.25
C2-20VB,C2,20,N,97,99,99,98,,98.25
C2-20VB,C2,20,E,98,99,97,98,,98
C2-20VB,C2,20,S,97,96,97,98,,97
C2-20VB,C2,20,W,94,95,96,93,,94.5
C2-20VB,C2,20,C,86,91,94,95,,91.5
C2-23VB,C2,23,N,88,87,99,90,,91
C2-23VB,C2,23,E,93,92,89,95,,92.25
C2-23VB,C2,23,S,84,86,82,79,,82.75
C2-23VB,C2,23,W,90,91,92,87,,90
C2-23VB,C2,23,C,89,79,78,77,,80.75
C2-25VB,C2,25,N,98,96,93,98,,96.25
C2-25VB,C2,25,E,89,87,92,95,,90.75
C2-25VB,C2,25,S,90,95,97,96,,94.5
C2-25VB,C2,25,W,96,96,91,97,,95
C2-25VB,C2,25,C,96,94,94,95,,94.75
C2-26V,C2,26,N,86,88,90,87,,87.75
C2-26V,C2,26,E,64,85,78,60,,71.75
C2-26V,C2,26,S,39,67,79,31,,54
C2-26V,C2,26,W,68,78,79,86,,77.75
C2-26V,C2,26,C,82,74,78,77,,77.75
N1-2V,N1,2,N,71,87,92,77,,81.75
N1-2V,N1,2,E,94,89,90,87,,90
N1-2V,N1,2,S,90,94,92,89,,91.25
N1-2V,N1,2,W,89,97,90,78,,88.5
N1-2V,N1,2,C,93,96,96,90,,93.75
N1-3V,N1,3,N,98,99,98,98,,98.25
N1-3V,N1,3,E,98,97,98,97,,97.5
N1-3V,N1,3,S,98,97,97,97,,97.25
N1-3V,N1,3,W,95,96,95,94,,95
N1-3V,N1,3,C,94,95,92,89,,92.5
N1-7VB,N1,7,N,93,88,87,90,,89.5
N1-7VB,N1,7,E,92,88,90,92,,90.5
N1-7VB,N1,7,S,98,94,95,92,,94.75
N1-7VB,N1,7,W,94,86,84,82,,86.5
N1-7VB,N1,7,C,97,98,95,98,,97
N1-8VB,N1,8,N,96,95,95,93,,94.75
N1-8VB,N1,8,E,90,92,93,90,,91.25
N1-8VB,N1,8,S,85,86,86,87,,86
N1-8VB,N1,8,W,94,96,92,93,,93.75
N1-8VB,N1,8,C,97,97,95,96,,96.25
N1-10VB,N1,10,N,89,98,97,98,,95.5
N1-10VB,N1,10,E,95,96,96,95,,95.5
N1-10VB,N1,10,S,99,98,97,97,,97.75
N1-10VB,N1,10,W,99,98,97,97,,97.75
N1-10VB,N1,10,C,98,99,97,98,,98
N1-12VB,N1,12,N,97,99,97,96,,97.25
N1-12VB,N1,12,E,92,97,98,98,,96.25
N1-12VB,N1,12,S,92,96,97,97,,95.5
N1-12VB,N1,12,W,95,94,95,98,,95.5
N1-12VB,N1,12,C,92,96,97,94,,94.75
N1-13V,N1,13,N,92,93,89,94,,92
N1-13V,N1,13,E,94,93,92,90,,92.25
N1-13V,N1,13,S,89,86,91,92,,89.5
N1-13V,N1,13,W,94,93,92,89,,92
N1-13V,N1,13,C,92,94,91,96,,93.25
N1-14VB,N1,14,N,96,95,98,99,,97
N1-14VB,N1,14,E,95,98,97,98,,97
N1-14VB,N1,14,S,96,95,97,98,,96.5
N1-14VB,N1,14,W,97,96,96,97,,96.5
N1-14VB,N1,14,C,97,95,96,95,,95.75
N1-16V,N1,16,N,96,95,95,94,,95
N1-16V,N1,16,E,91,95,96,93,,93.75
N1-16V,N1,16,S,94,92,96,93,,93.75
N1-16V,N1,16,W,86,91,92,90,,89.75
N1-16V,N1,16,C,96,95,94,94,,94.75
N1-17VB,N1,17,N,92,94,96,94,,94
N1-17VB,N1,17,E,90,95,85,94,,91
N1-17VB,N1,17,S,92,94,97,96,,94.75
N1-17VB,N1,17,W,90,94,96,94,,93.5
N1-17VB,N1,17,C,98,98,97,98,,97.75
N1-18VB,N1,18,N,87,92,93,89,,90.25
N1-18VB,N1,18,E,96,94,94,95,,94.75
N1-18VB,N1,18,S,93,94,97,98,,95.5
N1-18VB,N1,18,W,74,82,93,86,,83.75
N1-18VB,N1,18,C,95,89,97,93,,93.5
N1-19V,N1,19,N,90,88,97,94,,92.25
N1-19V,N1,19,E,95,92,91,97,,93.75
N1-19V,N1,19,S,97,98,92,93,,95
N1-19V,N1,19,W,91,93,89,95,,92
N1-19V,N1,19,C,92,96,89,91,,92
N1-20V,N1,20,N,83,83,90,90,,86.5
N1-20V,N1,20,E,92,90,75,76,,83.25
N1-20V,N1,20,S,67,93,85,84,,82.25
N1-20V,N1,20,W,43,81,92,81,,74.25
N1-20V,N1,20,C,92,93,93,95,,93.25
N1-21VB,N1,21,N,91,89,90,96,,91.5
N1-21VB,N1,21,E,95,97,93,91,,94
N1-21VB,N1,21,S,96,94,92,94,,94
N1-21VB,N1,21,W,92,94,96,85,,91.75
N1-21VB,N2,22,C,92,94,97,93,,94
N1-22V,N1,22,N,95,98,98,96,,96.75
N1-22V,N1,22,E,96,97,98,96,,96.75
N1-22V,N1,22,S,89,96,97,92,,93.5
N1-22V,N1,22,W,92,94,87,90,,90.75
N1-22V,N1,22,C,96,97,94,95,,95.5
N1-24VB,N1,24,N,97,96,97,96,,96.5
N1-24VB,N1,24,E,96,98,97,96,,96.75
N1-24VB,N1,24,S,97,96,99,97,,97.25
N1-24VB,N1,24,W,98,97,96,97,,97
N1-24VB,N1,24,C,97,98,97,98,,97.5
N1-25VB,N1,25,E,92,90,85,83,,87.5
N1-25VB,N1,25,S,86,92,79,82,,84.75
N1-25VB,N1,25,W,98,97,95,95,,96.25
N1-25VB,N1,25,C,92,94,89,91,,91.5
N1-26V,N1,26,N,91,88,86,92,,89.25
N1-26V,N1,26,E,98,96,97,97,,97
N1-26V,N1,26,S,86,94,94,96,,92.5
N1-26V,N1,26,W,88,92,92,93,,91.25
N1-26V,N1,26,C,97,90,91,94,,93
N1-27V,N1,27,N,87,95,98,98,,94.5
N1-27V,N1,27,E,69,63,89,92,,78.25
N1-27V,N1,27,S,93,82,90,91,,89
N1-27V,N1,27,W,79,95,94,90,,89.5
N1-27V,N1,27,C,90,93,89,95,,91.75
N2-1VB,N2,1,N,92,89,90,87,,89.5
N2-1VB,N2,1,E,74,52,89,89,,76
N2-1VB,N2,1,S,96,97,96,89,,94.5
N2-1VB,N2,1,W,98,96,92,94,,95
N2-1VB,N2,1,C,96,97,89,97,,94.75
N2-2VB,N2,2,N,95,93,95,94,,94.25
N2-2VB,N2,2,E,98,97,98,98,,97.75
N2-2VB,N2,2,S,99,98,97,98,,98
N2-2VB,N2,2,W,95,96,93,94,,94.5
N2-2VB,N2,2,C,92,95,90,91,,92
N2-3V,N2,3,N,88,94,95,96,,93.25
N2-3V,N2,3,E,99,98,96,94,,96.75
N2-3V,N2,3,S,97,96,98,97,,97
N2-3V,N2,3,W,99,99,97,96,,97.75
N2-3V,N2,3,C,94,97,96,98,,96.25
N2-5V,N2,5,N,93,97,96,88,,93.5
N2-5V,N2,5,E,99,97,98,99,,98.25
N2-5V,N2,5,S,98,98,94,96,,96.5
N2-5V,N2,5,W,88,92,93,89,,90.5
N2-5V,N2,5,C,98,97,97,96,,97
N2-7VB,N2,7,N,84,94,79,99,,89
N2-7VB,N2,7,E,95,99,97,99,,97.5
N2-7VB,N2,7,S,72,69,93,91,,81.25
N2-7VB,N2,7,W,67,93,77,68,,76.25
N2-7VB,N2,7,C,96,87,94,92,,92.25
N2-10VB,N2,10,N,97,97,99,98,,97.75
N2-10VB,N2,10,E,96,98,90,88,,93
N2-10VB,N2,10,S,96,95,92,98,,95.25
N2-10VB,N2,10,W,94,92,98,97,,95.25
N2-10VB,N2,10,C,90,95,98,92,,93.75
N2-12V,N2,12,N,64,60,68,72,,66
N2-12V,N2,12,E,98,95,89,80,,90.5
N2-12V,N2,12,S,96,92,86,88,,90.5
N2-12V,N2,12,W,96,97,96,96,,96.25
N2-12V,N2,12,C,92,74,98,96,,90
N2-13VB,N2,13,N,74,71,62,17,,56
N2-13VB,N2,13,E,27,45,32,16,,30
N2-13VB,N2,13,S,57,29,52,48,,46.5
N2-13VB,N2,13,W,80,86,69,85,,80
N2-13VB,N2,13,C,51,35,28,46,,40
N2-14V,N2,14,N,99,97,99,98,,98.25
N2-14V,N2,14,E,99,95,96,98,,97
N2-14V,N2,14,S,96,98,99,98,,97.75
N2-14V,N2,14,W,100,96,99,100,,98.75
N2-14V,N2,14,C,96,98,95,96,,96.25
N2-15VB,N2,15,N,86,95,96,94,,92.75
N2-15VB,N2,15,E,92,95,88,93,,92
N2-15VB,N2,15,S,79,89,88,85,,85.25
N2-15VB,N2,15,W,95,91,94,94,,93.5
N2-15VB,N2,15,C,96,97,95,95,,95.75
N2-18VB,N2,18,N,96,92,95,96,,94.75
N2-18VB,N2,18,E,90,84,92,88,,88.5
N2-18VB,N2,18,S,96,94,95,97,,95.5
N2-18VB,N2,18,W,82,84,92,90,,87
N2-18VB,N2,18,C,95,89,96,93,,93.25
N2-19V,N2,19,N,89,91,75,81,,84
N2-19V,N2,19,E,83,81,75,90,,82.25
N2-19V,N2,19,S,74,77,68,74,,73.25
N2-19V,N2,19,W,95,81,81,90,,86.75
N2-19V,N2,19,C,80,82,80,81,,80.75
N2-20V,N2,20,N,64,75,82,67,,72
N2-20V,N2,20,E,81,94,96,71,,85.5
N2-20V,N2,20,S,82,89,91,87,,87.25
N2-20V,N2,20,W,93,91,90,96,,92.5
N2-20V,N2,20,C,95,92,94,96,,94.25
N2-21V,N2,21,N,97,90,88,86,,90.25
N2-21V,N2,21,E,91,89,92,94,,91.5
N2-21V,N2,21,S,78,84,87,85,,83.5
N2-21V,N2,21,W,96,91,87,82,,89
N2-21V,N2,21,C,92,94,97,93,,94
N2-26VB,N2,26,N,85,98,85,92,,90
N2-26VB,N2,26,E,91,88,93,95,,91.75
N2-26VB,N2,26,S,83,100,96,91,,92.5
N2-26VB,N2,26,W,95,88,75,95,,88.25
N2-26VB,N2,26,C,93,87,85,88,,88.25
