SITE_ID,BASIN,PLOT,TRANS,SPP,DIAM,DECAY,REMARKS,,,,,,,,,,,,,,,,,,TreeSpecies
C1-3V,C1,3,N-E,TREE,32,4,,,,,,,,,,,,,,,,,,,
C1-3V,C1,3,N-E,TREE,25,4,,,,,,,,,,,,,,,,,,,
C1-3V,C1,3,N-W,,,,NONE,,,,,,,,,,,,,,,,,,
C1-3V,C1,3,S-E,TREE,29,2,,,,,,,,,,,,,,,,,,,
C1-3V,C1,3,S-W,TREE,39,3,,,,,,,,,,,,,,,,,,,
C1-3V,C1,3,S-W,TREE,41,4,,,,,,,,,,,,,,,,,,,
C1-3V,C1,3,S-W,TREE,32,3,,,,,,,,,,,,,,,,,,,
C1-4V,C1,4,N-E,TREE,28,5,,,,,,,,,,,,,,,,,,,
C1-4V,C1,4,N-W,TREE,27,3,,,,,,,,,,,,,,,,,,,
C1-4V,C1,4,N-W,TREE,50,4,,,,,,,,,,,,,,,,,,,
C1-4V,C1,4,N-W,TREE,40,4,,,,,,,,,,,,,,,,,,,
C1-4V,C1,4,N-W,TREE,43,4,,,,,,,,,,,,,,,,,,,
C1-4V,C1,4,N-W,TREE,46,3,,,,,,,,,,,,,,,,,,,
C1-4V,C1,4,N-W,TREE,62,4,,,,,,,,,,,,,,,,,,,
C1-4V,C1,4,N-W,TREE,47,3,,,,,,,,,,,,,,,,,,,
C1-4V,C1,4,N-W,TREE,52,3,,,,,,,,,,,,,,,,,,,
C1-4V,C1,4,S-E,,,,NONE,,,,,,,,,,,,,,,,,,
C1-4V,C1,4,S-W,TREE,47,2,,,,,,,,,,,,,,,,,,,
C1-4V,C1,4,S-W,TREE,35,5,,,,,,,,,,,,,,,,,,,
C1-4V,C1,4,S-W,TREE,47,2,,,,,,,,,,,,,,,,,,,
C1-4V,C1,4,S-W,TREE,35,5,,,,,,,,,,,,,,,,,,,
C1-5V,C1,5,N-E,TREE,26,3,,,,,,,,,,,,,,,,,,,
C1-5V,C1,5,N-E,TREE,37,2,,,,,,,,,,,,,,,,,,,
C1-5V,C1,5,N-W,,,,NONE,,,,,,,,,,,,,,,,,,
C1-5V,C1,5,S-E,,,,NONE,,,,,,,,,,,,,,,,,,
C1-5V,C1,5,S-W,TREE,31,2,,,,,,,,,,,,,,,,,,,
C1-7VB,C1,7,N-E,TREE,33,3,,,,,,,,,,,,,,,,,,,
C1-7VB,C1,7,N-W,TSHE,41,1,,,,,,,,,,,,,,,,,,,
C1-7VB,C1,7,N-W,TREE,36,5,,,,,,,,,,,,,,,,,,,
C1-7VB,C1,7,N-W,TREE,33,2,,,,,,,,,,,,,,,,,,,
C1-7VB,C1,7,S-E,,,,NONE,,,,,,,,,,,,,,,,,,
C1-7VB,C1,7,S-W,TSHE,36,1,,,,,,,,,,,,,,,,,,,
C1-7VB,C1,7,S-W,TREE,28,4,,,,,,,,,,,,,,,,,,,
C1-8VB,C1,8,N-E,TSHE,32,1,,,,,,,,,,,,,,,,,,,
C1-8VB,C1,8,N-E,TSHE,38,1,,,,,,,,,,,,,,,,,,,
C1-8VB,C1,8,N-E,TSHE,26,1,,,,,,,,,,,,,,,,,,,
C1-8VB,C1,8,N-E,TREE,28,2,,,,,,,,,,,,,,,,,,,
C1-8VB,C1,8,N-W,TREE,101,3,,,,,,,,,,,,,,,,,,,
C1-8VB,C1,8,N-W,TREE,68,4,,,,,,,,,,,,,,,,,,,
C1-8VB,C1,8,S-E,TREE,28,3,,,,,,,,,,,,,,,,,,,
C1-8VB,C1,8,S-E,TREE,96,4,,,,,,,,,,,,,,,,,,,
C1-8VB,C1,8,S-W,TREE,45,1,,,,,,,,,,,,,,,,,,,
C1-8VB,C1,8,S-W,TREE,74,3,,,,,,,,,,,,,,,,,,,
C1-8VB,C1,8,S-W,TREE,25,3,,,,,,,,,,,,,,,,,,,
C1-8VB,C1,8,S-W,TREE,34,5,,,,,,,,,,,,,,,,,,,
C1-13VB,C1,13,N-E,TSHE,28,1,,,,,,,,,,,,,,,,,,,
C1-13VB,C1,13,N-E,TREE,74,4,,,,,,,,,,,,,,,,,,,
C1-13VB,C1,13,N-W,THPL,26,1,,,,,,,,,,,,,,,,,,,
C1-13VB,C1,13,N-W,TREE,39,3,,,,,,,,,,,,,,,,,,,
C1-13VB,C1,13,S-E,TSHE,46,2,,,,,,,,,,,,,,,,,,,
C1-13VB,C1,13,S-W,TSHE,36,1,,,,,,,,,,,,,,,,,,,
C1-13VB,C1,13,S-W,TSHE,28,1,,,,,,,,,,,,,,,,,,,
C1-14VB,C1,14,N-E,TREE,35,4,,,,,,,,,,,,,,,,,,,
C1-14VB,C1,14,N-W,TREE,60,3,,,,,,,,,,,,,,,,,,,
C1-14VB,C1,14,S-E,,,,NONE,,,,,,,,,,,,,,,,,,
C1-14VB,C1,14,S-W,THPL,26,1,,,,,,,,,,,,,,,,,,,
C1-14VB,C1,14,S-W,TREE,36,4,,,,,,,,,,,,,,,,,,,
C1-14VB,C1,14,S-W,TREE,46,4,,,,,,,,,,,,,,,,,,,
C1-17V,C1,17,N-E,,,,NONE,,,,,,,,,,,,,,,,,,
C1-17V,C1,17,N-W,TREE,27,3,,,,,,,,,,,,,,,,,,,
C1-17V,C1,17,N-W,TREE,32,3,,,,,,,,,,,,,,,,,,,
C1-17V,C1,17,S-E,TREE,34,3,,,,,,,,,,,,,,,,,,,
C1-17V,C1,17,S-W,TREE,38,3,,,,,,,,,,,,,,,,,,,
C1-18V,C1,18,N-E,,,,NONE,,,,,,,,,,,,,,,,,,
C1-18V,C1,18,N-W,TREE,66,3,,,,,,,,,,,,,,,,,,,
C1-18V,C1,18,S-E,THPL,73,2,,,,,,,,,,,,,,,,,,,
C1-18V,C1,18,S-E,TREE,45,2,,,,,,,,,,,,,,,,,,,
C1-18V,C1,18,S-E,TREE,35,3,,,,,,,,,,,,,,,,,,,
C1-18V,C1,18,S-W,TREE,48,3,,,,,,,,,,,,,,,,,,,
C1-18V,C1,18,S-W,TREE,36,3,,,,,,,,,,,,,,,,,,,
C1-18V,C1,18,S-W,TREE,49,3,,,,,,,,,,,,,,,,,,,
C1-18V,C1,18,S-W,TREE,28,3,,,,,,,,,,,,,,,,,,,
C1-18V,C1,18,S-W,TREE,34,4,,,,,,,,,,,,,,,,,,,
C1-20VB,C1,20,N-E,TREE,38,3,,,,,,,,,,,,,,,,,,,
C1-20VB,C1,20,N-W,TREE,41,3,,,,,,,,,,,,,,,,,,,
C1-20VB,C1,20,N-W,TREE,27,4,,,,,,,,,,,,,,,,,,,
C1-20VB,C1,20,S-E,TREE,25,5,,,,,,,,,,,,,,,,,,,
C1-20VB,C1,20,S-E,TREE,28,4,,,,,,,,,,,,,,,,,,,
C1-20VB,C1,20,S-W,TREE,42,3,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,N-E,THPL,105,3,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,N-E,TSHE,33,2,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,N-E,TSHE,27,1,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,N-W,THPL,37,1,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,N-W,TREE,28,2,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,N-W,TREE,27,2,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,N-W,TREE,55,3,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,S-E,THPL,138,3,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,S-E,TREE,30,4,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,S-E,TREE,42,4,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,S-E,TREE,37,2,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,S-E,TREE,50,3,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,S-W,THPL,81,3,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,S-W,TSHE,26,2,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,S-W,TREE,42,3,,,,,,,,,,,,,,,,,,,
C1-24VB,C1,24,S-W,TREE,42,5,,,,,,,,,,,,,,,,,,,
C1-25VB,C1,25,N-E,TREE,69,5,,,,,,,,,,,,,,,,,,,
C1-25VB,C1,25,N-W,TREE,30,3,,,,,,,,,,,,,,,,,,,
C1-25VB,C1,25,N-W,TREE,25,4,,,,,,,,,,,,,,,,,,,
C1-25VB,C1,25,S-E,TREE,34,3,,,,,,,,,,,,,,,,,,,
C1-25VB,C1,25,S-W,TSHE,26,2,,,,,,,,,,,,,,,,,,,
C1-25VB,C1,25,S-W,TREE,35,3,,,,,,,,,,,,,,,,,,,
C1-26V,C1,26,N-E,,,,NONE,,,,,,,,,,,,,,,,,,
C1-26V,C1,26,N-W,TREE,57,5,,,,,,,,,,,,,,,,,,,
C1-26V,C1,26,S-E,TREE,32,3,,,,,,,,,,,,,,,,,,,
C1-26V,C1,26,S-W,TREE,37,3,,,,,,,,,,,,,,,,,,,
C1-26V,C1,26,S-W,TREE,42,3,,,,,,,,,,,,,,,,,,,
C1-28VB,C1,28,N-E,TREE,25,3,,,,,,,,,,,,,,,,,,,
C1-28VB,C1,28,N-E,TREE,57,4,,,,,,,,,,,,,,,,,,,
C1-28VB,C1,28,N-E,TREE,58,4,,,,,,,,,,,,,,,,,,,
C1-28VB,C1,28,N-W,TREE,46,5,,,,,,,,,,,,,,,,,,,
C1-28VB,C1,28,N-W,TREE,40,5,,,,,,,,,,,,,,,,,,,
C1-28VB,C1,28,N-W,TREE,48,5,,,,,,,,,,,,,,,,,,,
C1-28VB,C1,28,S-W,TREE,67,5,,,,,,,,,,,,,,,,,,,
C1-28VB,C1,28,S-W,TREE,58,5,,,,,,,,,,,,,,,,,,,
C2-4V,C2,4,N-E,TSHE,36,2,,,,,,,,,,,,,,,,,,,
C2-4V,C2,4,N-W,TREE,30,4,,,,,,,,,,,,,,,,,,,
C2-4V,C2,4,S-E,TREE,48,4,,,,,,,,,,,,,,,,,,,
C2-4V,C2,4,S-E,TREE,28,4,,,,,,,,,,,,,,,,,,,
C2-4V,C2,4,S-W,TREE,26,5,,,,,,,,,,,,,,,,,,,
C2-5VB,C2,5,N-E,TREE,42,5,,,,,,,,,,,,,,,,,,,
C2-5VB,C2,5,N-E,TSHE,44,1,,,,,,,,,,,,,,,,,,,
C2-5VB,C2,5,N-W,,,,NONE,,,,,,,,,,,,,,,,,,
C2-5VB,C2,5,S-E,TREE,35,5,INCLUDES PART OF ROOT BALL. BURNED,,,,,,,,,,,,,,,,,,
C2-5VB,C2,5,S-W,TREE,99,3,BURNED,,,,,,,,,,,,,,,,,,
C2-5VB,C2,5,S-W,TREE,33,4,BURNED,,,,,,,,,,,,,,,,,,
C2-5VB,C2,5,S-W,TREE,27,3,BURNED,,,,,,,,,,,,,,,,,,
C2-5VB,C2,5,S-W,TREE,38,4,INCLUDES PART OF ROOT BALL. BURNED,,,,,,,,,,,,,,,,,,
C2-11VB,C2,11,N-E,TSHE,45,1,,,,,,,,,,,,,,,,,,,
C2-11VB,C2,11,N-E,TREE,31,1,,,,,,,,,,,,,,,,,,,
C2-11VB,C2,11,N-E,TREE,42,5,,,,,,,,,,,,,,,,,,,
C2-11VB,C2,11,N-E,TREE,48,3,,,,,,,,,,,,,,,,,,,
C2-11VB,C2,11,N-W,TREE,25,3,,,,,,,,,,,,,,,,,,,
C2-11VB,C2,11,N-W,TREE,34,4,,,,,,,,,,,,,,,,,,,
C2-11VB,C2,11,N-W,TREE,35,4,,,,,,,,,,,,,,,,,,,
C2-11VB,C2,11,N-W,TREE,31,4,,,,,,,,,,,,,,,,,,,
C2-11VB,C2,11,S-E,,,,NONE,,,,,,,,,,,,,,,,,,
C2-11VB,C2,11,S-W,TREE,25,3,,,,,,,,,,,,,,,,,,,
C2-11VB,C2,11,S-W,TREE,36,5,,,,,,,,,,,,,,,,,,,
C2-12VB,C2,12,N-E,TSHE,36,1,,,,,,,,,,,,,,,,,,,
C2-12VB,C2,12,N-W,THPL,49,3,,,,,,,,,,,,,,,,,,,
C2-12VB,C2,12,S-E,TREE,26,4,,,,,,,,,,,,,,,,,,,
C2-12VB,C2,12,S-E,TREE,27,4,,,,,,,,,,,,,,,,,,,
C2-12VB,C2,12,S-E,TSHE,126,4,INCLUDES PART OF ROOT BALL ,,,,,,,,,,,,,,,,,,
C2-12VB,C2,12,S-W,TREE,35,5,,,,,,,,,,,,,,,,,,,
C2-12VB,C2,12,S-W,TREE,56,4,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,N-E,TREE,25,3,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,N-E,TREE,37,5,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,N-W,THPL,57,4,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,N-W,THPL,57,3,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,N-W,THPL,186,4,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,N-W,TREE,47,4,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,N-W,TREE,44,5,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,N-W,TREE,62,4,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,S-E,THPL,175,3,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,S-E,THPL,110,3,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,S-E,THPL,129,3,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,S-E,THPL,33,4,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,S-E,TREE,35,5,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,S-W,THPL,101,4,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,S-W,THPL,117,3,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,S-W,THPL,67,3,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,S-W,TREE,29,3,,,,,,,,,,,,,,,,,,,
C2-13V,C2,13,S-W,TREE,29,4,,,,,,,,,,,,,,,,,,,
C2-15VB,C2,15,N-E,TREE,60,4,,,,,,,,,,,,,,,,,,,
C2-15VB,C2,15,N-W,ALRU2,27,2,,,,,,,,,,,,,,,,,,,
C2-15VB,C2,15,N-W,TREE,49,3,,,,,,,,,,,,,,,,,,,
C2-15VB,C2,15,S-E,TSHE,32,1,,,,,,,,,,,,,,,,,,,
C2-15VB,C2,15,S-E,TSHE,31,1,,,,,,,,,,,,,,,,,,,
C2-15VB,C2,15,S-E,TSHE,29,1,,,,,,,,,,,,,,,,,,,
C2-15VB,C2,15,S-E,TSHE,37,1,,,,,,,,,,,,,,,,,,,
C2-15VB,C2,15,S-W,TREE,50,3,,,,,,,,,,,,,,,,,,,
C2-17VB,C2,17,N-E,TSHE,26,3,,,,,,,,,,,,,,,,,,,
C2-17VB,C2,17,N-E,TSHE,29,4,,,,,,,,,,,,,,,,,,,
C2-17VB,C2,17,N-W,TSHE,26,4,,,,,,,,,,,,,,,,,,,
C2-17VB,C2,17,N-W,TSHE,46,4,,,,,,,,,,,,,,,,,,,
C2-17VB,C2,17,S-E,TSHE,30,4,,,,,,,,,,,,,,,,,,,
C2-17VB,C2,17,S-E,TREE,34,4,,,,,,,,,,,,,,,,,,,
C2-17VB,C2,17,S-W,,,,NONE,,,,,,,,,,,,,,,,,,
C2-18VB,C2,18,N-E,TREE,30,3,NONE OBSERVED,,,,,,,,,,,,,,,,,,
C2-18VB,C2,18,N-W,TREE,30,3,,,,,,,,,,,,,,,,,,,
C2-18VB,C2,18,N-W,TREE,41,4,,,,,,,,,,,,,,,,,,,
C2-18VB,C2,18,S-E,TREE,51,4,,,,,,,,,,,,,,,,,,,
C2-18VB,C2,18,S-E,TREE,58,3,,,,,,,,,,,,,,,,,,,
C2-18VB,C2,18,S-W,TREE,33,3,,,,,,,,,,,,,,,,,,,
C2-18VB,C2,18,S-W,TREE,55,3,,,,,,,,,,,,,,,,,,,
C2-18VB,C2,18,S-W,TREE,64,4,,,,,,,,,,,,,,,,,,,
C2-18VB,C2,18,S-W,TREE,36,4,,,,,,,,,,,,,,,,,,,
C2-20VB,C2,20,N-E,THPL,66,2,,,,,,,,,,,,,,,,,,,
C2-20VB,C2,20,N-E,THPL,102,4,,,,,,,,,,,,,,,,,,,
C2-20VB,C2,20,N-E,TREE,36,2,,,,,,,,,,,,,,,,,,,
C2-20VB,C2,20,N-E,TREE,95,5,,,,,,,,,,,,,,,,,,,
C2-20VB,C2,20,N-W,,,,NONE,,,,,,,,,,,,,,,,,,
C2-20VB,C2,20,S-E,THPL,58,3,CHARRED,,,,,,,,,,,,,,,,,,
C2-20VB,C2,20,S-E,THPL,52,3,ROOT BALL,,,,,,,,,,,,,,,,,,
C2-20VB,C2,20,S-E,THPL,40,3,CHARRED,,,,,,,,,,,,,,,,,,
C2-20VB,C2,20,S-E,TREE,56,4,,,,,,,,,,,,,,,,,,,
C2-20VB,C2,20,S-W,THPL,44,4,CHARRED,,,,,,,,,,,,,,,,,,
C2-23VB,C2,23,N-E,THPL,57,4,,,,,,,,,,,,,,,,,,,
C2-23VB,C2,23,N-E,THPL,26,4,,,,,,,,,,,,,,,,,,,
C2-23VB,C2,23,N-E,TREE,50,5,,,,,,,,,,,,,,,,,,,
C2-23VB,C2,23,N-W,,,,NONE,,,,,,,,,,,,,,,,,,
C2-23VB,C2,23,S-E,TREE,26,4,,,,,,,,,,,,,,,,,,,
C2-23VB,C2,23,S-W,TREE,28,5,,,,,,,,,,,,,,,,,,,
C2-23VB,C2,23,S-W,TREE,29,5,,,,,,,,,,,,,,,,,,,
C2-23VB,C2,23,S-W,TREE,34,5,,,,,,,,,,,,,,,,,,,
C2-25VB,C2,25,N-E,,,,NONE,,,,,,,,,,,,,,,,,,
C2-25VB,C2,25,N-W,THPL,29,3,,,,,,,,,,,,,,,,,,,
C2-25VB,C2,25,N-W,THPL,51,3,,,,,,,,,,,,,,,,,,,
C2-25VB,C2,25,S-E,THPL,108,3,,,,,,,,,,,,,,,,,,,
C2-25VB,C2,25,S-E,THPL,65,4,,,,,,,,,,,,,,,,,,,
C2-25VB,C2,25,S-E,THPL,64,3,,,,,,,,,,,,,,,,,,,
C2-25VB,C2,25,S-E,THPL,53,3,,,,,,,,,,,,,,,,,,,
C2-25VB,C2,25,S-E,TREE,32,4,,,,,,,,,,,,,,,,,,,
C2-25VB,C2,25,S-W,THPL,26,3,,,,,,,,,,,,,,,,,,,
C2-25VB,C2,25,S-W,THPL,68,3,,,,,,,,,,,,,,,,,,,
C2-25VB,C2,25,S-W,THPL,30,4,,,,,,,,,,,,,,,,,,,
C2-26V,C2,26,N-E,THPL,75,3,,,,,,,,,,,,,,,,,,,
C2-26V,C2,26,N-E,THPL,38,3,,,,,,,,,,,,,,,,,,,
C2-26V,C2,26,N-E,TREE,41,5,,,,,,,,,,,,,,,,,,,
C2-26V,C2,26,N-E,TREE,51,3,,,,,,,,,,,,,,,,,,,
C2-26V,C2,26,N-W,THPL,160,3,,,,,,,,,,,,,,,,,,,
C2-26V,C2,26,N-W,THPL,39,3,,,,,,,,,,,,,,,,,,,
C2-26V,C2,26,N-W,TREE,72,3,,,,,,,,,,,,,,,,,,,
C2-26V,C2,26,N-W,TSHE,35,1,,,,,,,,,,,,,,,,,,,
C2-26V,C2,26,S-E,THPL,126,3,,,,,,,,,,,,,,,,,,,
C2-26V,C2,26,S-E,TREE,32,4,,,,,,,,,,,,,,,,,,,
C2-26V,C2,26,S-W,TSHE,34,3,,,,,,,,,,,,,,,,,,,
C2-20VB,C3,21,S-W,TREE,25,5,,,,,,,,,,,,,,,,,,,
C2-20VB,C4,22,S-W,THPL,47,4,,,,,,,,,,,,,,,,,,,
N1-2V,N1,2,N-E,TSHE,34,2,,,,,,,,,,,,,,,,,,,
N1-2V,N1,2,N-E,TREE,45,3,,,,,,,,,,,,,,,,,,,
N1-2V,N1,2,N-W,,,,NONE,,,,,,,,,,,,,,,,,,
N1-2V,N1,2,S-E,TREE,53,4,,,,,,,,,,,,,,,,,,,
N1-2V,N1,2,S-W,TREE,49,5,,,,,,,,,,,,,,,,,,,
N1-3V,N1,3,N-E,,,,NONE,,,,,,,,,,,,,,,,,,
N1-3V,N1,3,N-W,TREE,32,5,,,,,,,,,,,,,,,,,,,
N1-3V,N1,3,S-E,TREE,35,4,,,,,,,,,,,,,,,,,,,
N1-3V,N1,3,S-W,THPL,31,3,,,,,,,,,,,,,,,,,,,
N1-3V,N1,3,S-W,THPL,44,3,,,,,,,,,,,,,,,,,,,
N1-3V,N1,3,S-W,TSHE,38,3,,,,,,,,,,,,,,,,,,,
N1-3V,N1,3,S-W,TSHE,31,3,,,,,,,,,,,,,,,,,,,
N1-7VB,N1,7,N-W,THPL,41,3,,,,,,,,,,,,,,,,,,,
N1-7VB,N1,7,N-W,TSHE,28,2,,,,,,,,,,,,,,,,,,,
N1-7VB,N1,7,S-E,TREE,31,4,,,,,,,,,,,,,,,,,,,
N1-7VB,N1,7,S-E,TREE,86,3,,,,,,,,,,,,,,,,,,,
N1-7VB,N1,7,S-E,TREE,32,4,,,,,,,,,,,,,,,,,,,
N1-7VB,N1,7,S-E,TREE,31,3,,,,,,,,,,,,,,,,,,,
